Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0546434634490409,-0.140926041721454,0.549786025749115,0,0,0,1175.8826301421,50.0652985565659,-0.107488085580717,0.0875394642945228,34.5212318251515,0.0585357722931229,55.6039256873972,0,0,0,0,0,0,package://dual_arm_agv/meshes/base_link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://dual_arm_agv/meshes/base_link.STL,,仙工AGV装配体-2/仙工 AMB-QXW06 外观图 250319-1;本体组件-全向升降-1/框架升降下-全向-40-25-1;本体组件-全向升降-1/中间安装板-全向-1;本体组件-全向升降-1/怡合达密封条J-HGY21-10-621mm-1;本体组件-全向升降-1/怡合达密封条J-HGY21-10-621mm-2;本体组件-全向升降-1/怡合达密封条J-HGY21-10-431mm-1;本体组件-全向升降-1/怡合达密封条J-HGY21-10-431mm-2;本体组件-全向升降-1/左侧开门-全向-1;本体组件-全向升降-1/怡合达密封条J-HGY21-10-455mm-1;本体组件-全向升降-1/怡合达密封条J-HGY21-10-455mm-2;本体组件-全向升降-1/怡合达密封条J-HGY21-10-431mm-5;本体组件-全向升降-1/怡合达密封条J-HGY21-10-431mm-6;本体组件-全向升降-1/左侧开门小-全向-1;本体组件-全向升降-1/ESS21-200-05-N0R-B3P-X19130-H750B-1;本体组件-全向升降-1/升降模组安装板-1;本体组件-全向升降-1/GB-T70.1-2008 内六角圆柱头螺钉M8x20-1;本体组件-全向升降-1/Mirror左侧开门-全向-2;本体组件-全向升降-1/怡合达密封条J-HGY21-10-431mm-3;本体组件-全向升降-1/怡合达密封条J-HGY21-10-431mm-4;本体组件-全向升降-1/怡合达密封条J-HGY21-10-621mm-3;本体组件-全向升降-1/怡合达密封条J-HGY21-10-621mm-4;本体组件-全向升降-1/Mirror左侧开门小-全向-2;本体组件-全向升降-1/怡合达密封条J-HGY21-10-431mm-7;本体组件-全向升降-1/怡合达密封条J-HGY21-10-431mm-8;本体组件-全向升降-1/怡合达密封条J-HGY21-10-455mm-3;本体组件-全向升降-1/怡合达密封条J-HGY21-10-455mm-4;本体组件-全向升降-1/GB-T70.1-2008 内六角圆柱头螺钉M8x20-2;本体组件-全向升降-1/GB-T70.1-2008 内六角圆柱头螺钉M8x20-3;本体组件-全向升降-1/GB-T70.1-2008 内六角圆柱头螺钉M8x20-4;电柜组件-1;DCCJ.02 二联件组件-1;DCCJ.03 电磁阀组件-1;电控柜-1;电控柜-2;20L储气罐-1;空压机组件-1,CS00,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lfu_Link,-0.010115,-0.014553,-0.084051,0,0,0,31.912,0.050361,0.00070481,7.2613E-06,0.06568,-5.5391E-05,0.070542,0,0,0,0,0,0,package://dual_arm_agv/meshes/lfu_Link.STL,0.64706,0.61961,0.58824,1,0,0,0,0,0,0,package://dual_arm_agv/meshes/lfu_Link.STL,,仙工AGV装配体-2/舵轮组件-2/舵轮-1;仙工AGV装配体-2/舵轮组件-2/舵轮整体旋转-1,CS_LFU10,DA_LFU10,lfu_joint,revolute,0.235,-0.424,0.1895,0,0,0,base_link,0,0,1,200,2,0,1.57,,,,,,,,
lfd_Link,-9.99200722162641E-16,-3.60267371490863E-14,2.41473507855972E-15,0,0,0,2.27437869372106,0.00667217333183963,8.44588831684433E-17,-3.51234122980116E-19,0.0124275466946376,-2.20233879862675E-18,0.00667217333183963,0,0,0,0,0,0,package://dual_arm_agv/meshes/lfd_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://dual_arm_agv/meshes/lfd_Link.STL,,仙工AGV装配体-2/舵轮组件-2/行走轮-1,CS_LFD11,DA_LFD11,lfd_joint,continuous,0,0,-0.112,0,0,0,lfu_Link,0,1,0,200,2,100000,-100000,,,,,,,,
lbu_Link,0.0101145407284515,0.0145528089723998,-0.0845514626141467,0,0,0,31.9115144089676,0.0503611728601749,0.000704812025816372,-7.26128769723982E-06,0.065680340100723,5.53905773361375E-05,0.0705417283250844,0,0,0,0,0,0,package://dual_arm_agv/meshes/lbu_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://dual_arm_agv/meshes/lbu_Link.STL,,仙工AGV装配体-2/舵轮组件-4/舵轮-1;仙工AGV装配体-2/舵轮组件-4/舵轮整体旋转-1,CS_LBU20,DA_LBU20,lbu_joint,revolute,-0.23499999999994,-0.423999999999996,0.189999999999993,0,0,0,base_link,0,0,1,200,2,-1.57,0,,,,,,,,
lbd_Link,2.91433543964104E-15,4.13002965160558E-14,2.26207941267376E-15,0,0,0,2.27437869372106,0.00667217333183963,-5.56023405418499E-16,2.00899450894819E-18,0.0124275466946376,-3.97885499432362E-16,0.00667217333183963,0,0,0,0,0,0,package://dual_arm_agv/meshes/lbd_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://dual_arm_agv/meshes/lbd_Link.STL,,仙工AGV装配体-2/舵轮组件-4/行走轮-1,CS_LBD21,DA_LBD21,lbd_joint,continuous,0,0,-0.112500000000002,0,0,0,lbu_Link,0,-1,0,200,2,100000,-100000,,,,,,,,
rfu_Link,-0.0101145407285348,-0.0145528089723641,-0.084051462614141,0,0,0,31.9115144089675,0.050361172860175,0.00070481202581808,7.26128770039667E-06,0.0656803401007229,-5.53905773355691E-05,0.0705417283250845,0,0,0,0,0,0,package://dual_arm_agv/meshes/rfu_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://dual_arm_agv/meshes/rfu_Link.STL,,仙工AGV装配体-2/舵轮组件-1/舵轮-1;仙工AGV装配体-2/舵轮组件-1/舵轮整体旋转-1,CS_RFU30,DA_RFU30,rfu_joint,revolute,0.235000000000055,0.423999999999963,0.189499999999998,0,0,0,base_link,0,0,1,200,2,0,1.57,,,,,,,,
rfd_Link,-9.99200722162641E-16,-4.39093206239249E-14,4.13558076672871E-15,0,0,0,2.27437869372106,0.00667217333183963,8.27714542196001E-17,6.16253967979071E-19,0.0124275466946376,-4.04094379555745E-16,0.00667217333183963,0,0,0,0,0,0,package://dual_arm_agv/meshes/rfd_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://dual_arm_agv/meshes/rfd_Link.STL,,仙工AGV装配体-2/舵轮组件-1/行走轮-1,CS_RFD31,DA_RFD31,rfd_joint,continuous,0,0,-0.112000000000002,0,0,0,rfu_Link,0,1,0,200,2,100000,-100000,,,,,,,,
rbu_Link,0.0101145407285198,0.0145528089723539,-0.0840514626141447,0,0,0,31.9115144089676,0.0503611728601749,0.000704812025816368,-7.26128769725194E-06,0.0656803401007231,5.53905773361204E-05,0.0705417283250845,0,0,0,0,0,0,package://dual_arm_agv/meshes/rbu_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://dual_arm_agv/meshes/rbu_Link.STL,,仙工AGV装配体-2/舵轮组件-3/舵轮-1;仙工AGV装配体-2/舵轮组件-3/舵轮整体旋转-1,CS_RBU40,DA_RBU40,rbu_joint,revolute,-0.235000000000009,0.42400000000005,0.189500000000171,0,0,0,base_link,0,0,1,200,2,-1.57,0,,,,,,,,
rbd_Link,2.88657986402541E-15,4.09672296086683E-14,2.26207941267376E-15,0,0,0,2.27437869372106,0.00667217333183963,-5.55904291410291E-16,6.55722615167524E-20,0.0124275466946376,-3.97308458237045E-16,0.00667217333183963,0,0,0,0,0,0,package://dual_arm_agv/meshes/rbd_Link.STL,0.647058823529412,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://dual_arm_agv/meshes/rbd_Link.STL,,仙工AGV装配体-2/舵轮组件-3/行走轮-1,CS_RBD41,DA_RBD41,rbd_joint,continuous,0,0,-0.112,0,0,0,rbu_Link,0,-1,0,200,2,100000,100000,,,,,,,,
rl_Link,0.011375,-2.1798E-05,0.57403,0,0,0,55,1.6103,3.4785E-05,-4.5945E-07,1.2469,-5.1281E-09,1.7916,0,0,0,0,0,0,package://dual_arm_agv/meshes/rl_Link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://dual_arm_agv/meshes/rl_Link.STL,,本体组件-全向升降-1/上部升降本体-1;本体组件-全向升降-1/风琴罩NHC31-L270-X15-W550-H340-K1-1,CS_RL50,DA_RL50,rl_joint,prismatic,0.0960000000000005,0,0.873499999998258,0,0,0,base_link,0,0,1,2000,1,-0.2,0,,,,,,,,
